category,item,Family_of_Four_on_Full_Income_Support,Single_Parent_on_Full_Income_Support,One_Person_On_Full_Income_Support
Income,Basic Allowance,$494.00,$360.00,$343.00
Income,Maximum Shelter Allowance,$756.00,$697.00,$390.00
Income,GST/HST credit,$76.00,$76.00,$25.00
Income,Ontario Trillium Benefit,$136.00,$109.00,$50.00
Income,Climate Action Incentive Payment,$62.00,$54.00,$31.00
Income,Total,"$2,730.00","$2,503.00",$839.00
Selected Expense,Average Monthly Rent,$254.00,$226.00,$85.00
Selected Expense,Food,"$1,141.00",$855.00,$392.00
Selected Expense,Transportation,$375.00,$252.00,$123.00
Selected Expense,Total,"$1,770.00","$1,333.00",$600.00
Other,Funds Remaining,$960.00,"$1,170.00",$239.00
Other,Percentage of income required for rent,9%,9%,10%
Other,Percentage of income required to purchase healthy food,42%,34%,47%
